,regular customers,customers with PV,defectors,annual base demand,annual PV production kWh,baseline retail price,baseline wholesale elec price,population growth rate,FCI PV,FCI adding batteries,FCI PV&batt,Expected Annual Cost PV,Expected Annual Cost Battery,Expected Annual Cost PV & Battery,limit on ratio of PV to total households,PV innovation rate,PV imitation rate,battery innovation rate,battery imitation rate,PV&batt innovation rate,PV&batt imitation rate,PV imitation factor from density of PV households,direct PV use
Inputs:,3361031,14344,1,16648,12469,0.209,0.118,0.0060,21105,63600,83017,300,100,400,1.00,0.005,0.0000,0.0008,0.0000,0.0010,0.0001,1.00,6211
,,,,,,,,0.0060,19295,57052,74803,300,100,400,1.00,0.009,0.0005,0.0014,0.0003,0.0015,0.0003,1.12,
,,,,,,,,0.0059,18755,53206,70460,300,100,400,1.00,0.011,0.0010,0.0017,0.0008,0.0019,0.0006,1.23,
,,,,,,,,0.0058,17580,49958,66132,300,100,400,0.99,0.012,0.0014,0.0019,0.0011,0.0022,0.0009,1.35,
,,,,,,,,0.0056,16765,47109,62532,300,100,400,0.97,0.014,0.0017,0.0022,0.0016,0.0026,0.0014,1.45,
,,,,,,,,0.0053,15770,44255,58763,300,100,400,0.95,0.016,0.0021,0.0025,0.0020,0.0028,0.0018,1.55,
,,,,,,,,0.0051,15140,42065,55993,300,100,400,0.92,0.019,0.0024,0.0029,0.0025,0.0032,0.0022,1.63,
,,,,,,,,0.0047,14595,39903,53330,300,100,400,0.88,0.022,0.0029,0.0034,0.0030,0.0036,0.0027,1.70,
,,,,,,,,0.0041,14055,37682,50612,300,100,400,0.83,0.024,0.0032,0.0041,0.0034,0.0041,0.0032,1.79,
,,,,,,,,0.0036,13330,35841,48105,300,100,400,0.79,0.027,0.0036,0.0045,0.0038,0.0047,0.0036,1.89,
,,,,,,,,0.0030,13060,34568,46583,300,100,400,0.71,0.030,0.0040,0.0051,0.0043,0.0052,0.0041,2.00,
,,,,,,,,,12700,32871,44555,300,100,400,0.62,0.032,,,,,,,
,,,,,,,,,12245,31068,42334,300,100,400,0.46,0.035,,,,,,,
,,,,,,,,,12335,30128,41476,300,100,400,0.29,0.037,,,,,,,
,,,,,,,,,12245,29313,40579,300,100,400,0.18,0.040,,,,,,,
,,,,,,,,,12155,28434,39617,300,100,400,0.09,0.043,,,,,,,
,,,,,,,,,12065,27815,38915,300,100,400,0.04,0.045,,,,,,,
,,,,,,,,,11975,27585,38602,300,100,400,0.02,0.047,,,,,,,
,,,,,,,,,11900,27438,38386,300,100,400,0.00,0.049,,,,,,,
,,,,,,,,,11795,26997,37848,300,100,400,0.00,0.050,,,,,,,
,,,,,,,,,11550,26531,37157,300,100,400,0.00,0.051,,,,,,,
,,,,,,,,,11435,26339,36859,300,100,400,,,,,,,,,
,,,,,,,,,11400,26236,36724,300,100,400,,,,,,,,,
,,,,,,,,,11380,26149,36618,300,100,400,,,,,,,,,
,,,,,,,,,11360,26061,36513,300,100,400,,,,,,,,,
,,,,,,,,,11340,25909,36342,300,100,400,,,,,,,,,
,,,,,,,,,11320,25757,36172,300,100,400,,,,,,,,,
,,,,,,,,,11300,25540,35936,300,100,400,,,,,,,,,
,,,,,,,,,11280,25453,35831,300,100,400,,,,,,,,,
,,,,,,,,,11260,25366,35725,300,100,400,,,,,,,,,
,,,,,,,,,11240,25214,35555,300,100,400,,,,,,,,,
,,,,,,,,,11220,24997,35319,300,100,400,,,,,,,,,
,,,,,,,,,11200,24845,35149,300,100,400,,,,,,,,,
,,,,,,,,,11180,24758,35043,300,100,400,,,,,,,,,
,,,,,,,,,11160,24671,34938,300,100,400,,,,,,,,,
,,,,,,,,,11140,24584,34832,300,100,400,,,,,,,,,
,,,,,,,,,11120,24496,34727,300,100,400,,,,,,,,,
